Electronegativity,IonicRadius,AtomicNumber,BandGap
1.936,1.287,55,3.339
3.837,1.447,36,2.439
3.116,2.209,37,3.049
2.676,1.18,14,3.139
1.215,2.239,27,4.0
1.215,0.676,83,2.607
0.892,2.054,31,4.0
3.558,2.195,73,2.371
2.684,0.864,81,2.341
3.037,1.361,83,2.318
0.768,0.831,44,3.56
3.901,1.913,68,2.71
3.447,1.571,48,3.128
1.401,1.771,57,3.605
1.3,0.893,75,2.793
1.305,0.923,22,3.531
1.704,0.583,4,3.558
2.432,1.144,81,2.499
2.125,1.619,72,2.886
1.661,2.216,46,3.563
2.719,1.834,59,3.106
1.16,1.371,34,3.78
1.664,2.406,11,3.834
1.909,1.938,31,3.696
2.205,2.36,11,4.0
3.291,1.555,56,2.252
1.359,1.018,38,3.312
2.397,0.606,21,2.925
2.655,1.952,10,3.484
0.853,0.743,26,3.205
2.705,1.106,8,3.55
1.263,1.565,8,3.936
0.915,1.629,60,3.637
3.831,1.701,72,2.343
3.887,0.833,34,2.266
3.368,1.259,16,3.085
1.705,1.734,13,3.75
1.022,2.44,76,3.082
2.958,1.955,22,3.196
2.153,2.345,27,3.543
1.103,2.024,64,3.74
2.334,1.683,2,4.0
0.813,0.884,26,3.814
3.701,1.833,83,2.81
1.554,1.747,69,3.081
2.886,1.705,30,2.941
1.729,1.48,8,3.651
2.416,1.557,38,3.267
2.504,1.169,61,2.619
1.31,1.539,81,2.765
3.9,0.895,65,2.104
3.258,2.11,67,2.414
3.8,0.872,46,2.6
3.653,0.67,72,2.221
2.673,1.372,43,2.763
3.742,1.817,59,2.612
0.992,1.375,46,3.459
1.347,1.054,72,3.084
0.849,1.616,35,3.825
1.774,1.194,39,3.215
1.983,2.366,51,3.654
1.595,2.345,4,3.786
3.435,1.505,80,2.452
1.877,1.156,77,2.942
1.627,1.974,51,3.12
2.491,0.573,5,2.967
1.165,1.45,55,3.185
3.347,1.173,20,2.761
0.946,2.341,24,4.0
3.957,0.524,36,2.022
3.248,1.606,34,3.125
1.356,1.981,54,3.817
0.718,1.47,34,4.0
3.391,0.671,83,1.375
3.033,2.445,17,3.877
3.106,1.536,5,3.25
3.245,1.728,18,3.092
0.944,0.973,55,3.379
1.883,1.467,53,2.867
1.082,1.358,50,3.604
3.548,0.65,72,2.499
2.757,0.712,79,2.399
1.792,2.175,45,3.247
0.91,0.98,13,3.459
1.726,0.89,16,3.383
1.773,1.51,13,3.468
3.108,2.037,20,3.384
2.804,0.624,66,2.788
3.628,1.654,47,2.732
2.258,0.738,19,3.147
1.095,0.573,45,3.291
3.054,0.605,37,2.648
3.211,2.168,54,2.576
2.552,0.736,6,3.33
3.244,0.59,14,2.509
2.33,1.376,4,3.76
2.425,2.188,55,3.086
2.111,1.025,34,3.371
0.784,1.343,27,3.491
1.056,0.58,7,3.927
0.804,1.398,3,4.0
2.8,1.655,47,2.626
1.737,1.642,2,3.789
2.378,1.165,80,2.722
3.695,1.131,25,2.747
1.523,0.713,60,2.96
2.054,1.234,79,2.669
3.193,0.699,24,2.796
1.455,2.033,15,4.0
0.954,2.433,14,4.0
1.656,2.44,54,3.363
1.232,2.23,78,3.739
3.768,1.702,6,3.01
3.367,1.902,78,1.916
2.79,1.07,81,2.739
3.576,1.762,18,2.809
3.352,1.411,20,2.939
1.316,1.464,62,3.427
3.645,2.016,81,2.006
2.48,1.064,80,2.495
3.365,1.136,40,2.964
3.657,2.349,39,3.164
1.749,0.612,52,2.931
1.063,1.471,32,3.915
1.452,2.326,73,3.639
2.109,1.721,27,3.642
3.399,1.593,52,2.352
3.54,0.999,63,2.704
0.723,1.187,74,3.251
2.385,2.204,63,3.144
2.077,1.618,17,3.437
1.433,1.529,49,3.493
1.096,0.699,81,2.785
1.814,0.532,82,2.598
3.812,2.427,23,3.059
1.767,1.254,72,3.296
2.412,1.706,13,3.733
3.02,0.659,23,3.088
1.9,1.866,57,3.487
3.907,2.365,62,3.028
3.876,1.651,54,2.372
1.531,0.752,20,3.414
2.341,1.663,52,3.033
1.693,2.033,23,3.727
1.64,1.313,35,3.069
0.822,2.26,67,3.785
2.712,1.797,34,3.279
2.359,2.298,33,3.392
0.87,1.747,46,3.317
1.62,0.763,81,2.816
3.697,1.119,45,2.123
1.491,0.904,19,3.632
1.178,2.318,15,4.0
2.315,2.021,78,2.995
3.953,1.853,66,2.09
1.499,1.102,39,3.696
2.918,0.868,18,2.996
3.213,2.013,70,2.43
1.484,1.448,59,3.436
3.103,0.952,32,2.789
1.914,1.733,21,4.0
2.787,0.581,40,2.561
2.791,1.152,27,2.688
2.468,1.437,2,3.536
0.998,0.796,80,3.333
3.456,2.469,39,3.589
1.759,0.918,56,3.907
1.316,0.761,13,3.224
0.835,0.907,56,3.384
2.65,2.038,66,2.62
2.936,1.351,78,2.429
0.755,1.631,56,4.0
2.39,0.542,28,2.762
1.447,0.569,64,2.986
2.829,1.392,71,2.471
1.275,2.133,82,3.099
2.98,2.27,64,3.337
1.976,0.673,56,2.507
3.791,1.577,41,2.566
1.154,2.326,41,3.888
1.826,1.276,4,3.644
1.074,2.159,57,3.609
3.751,0.767,30,2.873
3.595,2.371,46,2.325
1.551,2.003,56,3.569
2.878,2.383,31,3.414
3.397,1.853,7,3.239
2.532,1.227,77,2.417
2.448,2.376,54,3.535
1.498,1.051,8,3.965
1.007,1.164,55,3.22
3.661,1.902,69,2.157
3.671,2.031,44,2.393
2.789,2.359,13,3.558
1.819,0.91,20,3.397
1.852,2.096,78,3.058
3.096,1.977,32,3.595
3.66,0.628,60,2.049
3.627,1.274,50,2.518
3.274,1.066,27,2.732
2.819,1.109,25,3.486
0.978,2.466,52,3.371
1.233,1.786,68,3.325
3.665,1.935,21,3.098
2.701,2.453,18,3.46
0.73,1.254,39,3.408
1.035,2.104,15,4.0
2.89,1.369,53,2.36
0.717,2.239,38,4.0
1.231,0.861,48,3.223
2.511,2.395,52,3.089
2.983,0.938,72,2.67
2.851,1.152,28,2.714
1.44,2.012,16,3.522
3.05,1.288,16,2.819
1.483,1.716,35,4.0
1.774,1.389,17,3.326
3.163,1.985,73,2.731
2.844,0.957,52,2.88
3.502,0.617,82,1.769
2.87,1.1,12,2.867
2.575,1.449,83,2.659
1.009,0.836,48,3.463
1.913,1.21,22,3.754
1.575,1.3,49,3.118
1.505,0.615,52,3.008
3.911,1.667,79,2.895
1.997,2.269,1,3.464
3.644,0.803,66,1.664
2.783,1.696,64,2.45
3.323,1.829,8,3.455
2.359,1.339,25,3.139
2.604,1.902,66,2.799
2.325,1.321,73,2.535
1.344,1.509,73,3.455
3.084,0.515,77,1.849
1.627,1.883,70,3.109
0.78,1.823,79,3.253
2.83,0.577,51,1.903
1.284,1.237,53,3.248
3.804,2.458,15,3.091
3.848,1.341,50,2.209
3.719,1.504,71,2.226
1.922,2.32,75,3.157
0.751,1.935,38,3.907
3.763,1.664,40,2.37
2.113,2.096,66,2.886
3.89,2.229,39,2.774
3.88,1.414,74,1.803
3.515,1.45,17,2.846
1.672,1.272,7,4.0
1.971,2.433,39,3.582
3.509,1.894,68,2.068
1.746,0.666,35,3.237
1.259,2.226,51,3.899
2.537,1.461,47,2.795
3.789,0.638,36,2.281
2.997,1.599,64,2.462
2.581,1.334,13,3.162
1.021,2.255,18,3.962
2.73,0.908,21,3.12
3.967,2.153,65,2.864
1.162,1.615,8,3.994
2.41,0.609,48,2.393
3.595,2.444,43,3.537
3.145,1.525,53,2.855
3.0,1.082,27,3.091
3.018,1.439,19,3.058
1.886,2.216,23,3.778
1.669,1.11,50,3.12
3.371,0.885,51,2.673
3.373,0.758,43,2.369
3.561,1.096,51,2.557
3.714,2.06,69,2.725
2.387,1.443,41,3.419
2.355,0.955,72,2.922
3.334,0.832,11,2.59
2.845,1.165,80,2.845
3.016,2.38,52,3.193
3.326,1.186,23,2.912
3.637,2.476,49,2.943
1.815,1.47,38,3.335
1.939,0.858,47,2.935
1.01,2.282,72,3.509
2.608,1.421,7,3.675
0.819,1.919,66,3.649
2.236,2.467,77,3.186
2.491,0.6,62,2.619
1.646,0.693,29,3.133
2.65,1.941,38,2.646
0.801,1.064,33,3.901
0.823,0.869,29,3.847
3.415,0.579,79,2.055
1.889,0.544,23,2.945
1.119,2.049,3,4.0
2.423,0.769,45,2.766
3.241,1.435,8,3.156
1.412,1.712,29,3.523
2.756,1.357,2,2.987
0.982,0.554,50,3.461
0.871,2.067,65,3.287
2.453,0.521,20,3.072
2.484,2.024,52,3.191
2.804,2.287,37,2.955
3.096,1.366,72,2.167
3.92,1.571,27,2.481
2.404,1.454,47,2.888
1.766,1.278,6,3.275
3.324,2.275,60,2.512
1.594,2.288,45,3.658
2.149,1.172,44,3.589
0.959,1.73,83,3.597
0.784,2.354,18,4.0
3.877,2.424,65,2.849
3.459,1.518,25,3.151
2.997,1.406,27,2.917
2.05,1.057,7,3.532
1.272,2.418,44,4.0
1.216,0.786,29,3.778
1.526,1.66,44,3.769
2.512,1.065,36,2.738
3.058,1.058,19,3.238
2.879,1.31,6,3.686
1.624,2.498,25,4.0
3.851,0.61,31,2.101
3.135,1.657,9,2.859
2.529,0.665,74,2.604
2.719,0.809,37,3.194
2.085,1.379,27,3.406
1.518,1.521,13,3.701
1.875,1.018,41,3.163
3.201,1.133,66,2.695
0.747,0.674,24,3.623
1.083,1.106,44,3.619
0.852,2.433,60,3.797
0.834,2.389,9,4.0
3.523,1.17,2,2.72
3.022,1.642,56,2.895
2.265,2.319,30,2.853
1.023,0.512,22,3.684
2.322,2.121,75,2.955
2.262,2.397,81,3.281
1.272,0.683,13,3.757
2.132,0.823,71,2.735
2.015,2.421,16,3.534
2.732,1.575,45,2.716
2.796,0.528,65,2.269
0.85,1.015,11,4.0
1.936,1.4,70,3.428
2.765,1.886,20,3.382
2.36,1.966,63,2.908
3.526,2.491,12,3.135
2.874,1.075,62,2.483
1.238,1.576,42,3.858
0.933,1.567,83,3.192
2.82,1.311,69,2.604
0.787,0.838,58,3.733
2.633,2.455,5,3.531
3.803,2.207,27,3.05
2.599,1.497,28,3.394
1.981,1.706,26,3.515
2.823,0.955,49,3.196
2.212,1.588,21,3.838
2.501,1.89,1,3.663
3.807,1.53,58,2.195
1.974,2.481,79,3.015
3.872,1.723,55,2.511
3.688,1.242,81,1.855
1.346,2.044,26,3.922
0.929,0.841,25,4.0
1.033,1.269,77,3.253
0.76,1.194,33,3.759
1.012,1.364,72,3.538
2.954,2.064,69,2.919
0.935,1.468,6,3.759
1.753,2.088,23,3.622
3.488,1.653,30,3.314
0.777,1.184,78,3.386
3.388,2.12,54,2.529
1.63,0.977,11,3.523
1.09,0.949,31,3.133
2.999,1.509,6,2.769
2.776,1.022,11,3.372
3.596,0.518,77,1.986
3.126,1.797,12,3.338
3.351,1.522,66,2.786
1.631,1.391,53,3.36
1.286,2.434,36,4.0
3.177,1.642,17,3.156
3.363,2.227,28,3.405
3.969,0.779,22,2.91
2.062,1.638,7,3.687
1.928,2.236,15,3.829
3.262,1.666,11,3.205
1.825,1.936,24,3.625
3.771,1.244,67,2.135
3.533,0.685,30,2.794
2.116,1.416,70,2.819
3.178,1.289,66,2.381
3.19,2.234,61,3.049
1.04,0.988,78,3.384
3.678,2.433,41,3.472
2.367,2.416,82,3.303
3.427,0.995,51,2.664
1.756,1.196,44,3.499
3.655,2.291,13,3.098
1.984,2.433,12,3.997
0.736,1.387,82,3.494
3.688,1.142,9,2.682
1.001,1.552,48,3.613
1.754,1.876,49,3.649
3.835,1.047,53,2.285
3.837,1.973,56,2.69
2.592,0.603,40,3.008
2.785,0.599,24,3.078
2.18,1.273,72,3.262
1.668,1.207,33,3.26
1.785,1.131,23,3.846
2.919,1.482,77,2.665
3.183,1.141,54,2.778
3.312,0.885,53,2.625
3.306,1.119,49,2.725
1.001,2.45,78,3.435
2.332,1.322,78,2.923
0.89,1.389,80,2.941
2.513,1.653,49,3.564
2.157,2.467,60,3.413
3.629,0.983,65,2.523
1.858,1.863,32,3.706
1.086,1.932,79,3.404
1.172,1.715,21,3.74
3.213,0.677,18,2.595
2.74,1.854,60,3.095
1.034,0.628,13,3.867
0.978,1.692,24,4.0
3.013,1.979,30,3.099
0.94,0.922,2,4.0
3.412,2.183,83,2.394
3.031,0.561,25,2.576
0.968,2.188,50,3.74
0.98,1.421,14,3.876
3.956,0.935,6,3.044
1.935,0.768,76,2.395
1.923,2.407,30,3.684
3.382,0.645,30,2.739
3.826,0.898,38,2.895
3.954,1.196,58,2.085
3.186,1.74,41,2.599
1.942,1.59,57,3.351
0.976,0.751,36,3.556
3.265,1.079,64,2.363
2.543,0.978,16,3.266
2.1,0.927,78,2.914
3.691,1.322,72,2.425
1.067,1.908,14,4.0
2.326,0.935,31,3.409
0.737,1.233,66,3.504
2.247,1.282,68,2.857
0.886,2.453,65,3.95
1.092,2.409,55,3.461
1.088,2.1,78,3.609
2.842,0.983,40,2.722
3.162,0.636,25,2.384
2.625,1.134,25,3.186
3.875,1.034,3,2.655
1.937,1.512,69,2.625
1.643,2.055,26,3.522
3.566,2.217,40,3.301
1.438,2.19,38,3.603
3.879,1.219,38,2.555
0.74,1.874,68,3.355
3.901,1.126,7,3.273
0.842,0.622,30,3.607
3.641,1.903,19,2.794
2.441,0.52,35,3.091
3.977,1.318,33,3.027
0.944,1.159,33,3.578
2.528,1.887,78,2.639
3.899,2.032,38,3.284
2.426,1.108,10,3.271
2.777,2.123,57,2.937
2.996,1.088,28,2.352
2.2,1.393,78,2.789
2.771,1.954,38,2.799
2.628,1.886,16,3.254
3.674,2.475,21,2.599
0.85,0.95,6,4.0
1.627,1.825,41,3.16
3.836,1.719,15,2.386
3.638,2.33,3,3.027
2.204,0.813,43,3.284
2.746,2.004,47,2.961
1.615,1.637,14,3.667
1.321,1.049,66,3.286
2.23,1.449,29,3.255
1.866,1.168,4,3.913
2.626,1.659,26,3.167
0.957,2.278,12,4.0
3.916,1.639,2,3.511
3.954,1.763,17,2.831
3.004,1.537,35,3.007
2.469,0.602,10,3.08
1.721,0.966,43,2.604
3.386,1.484,21,3.139
2.96,1.12,15,3.457
1.237,0.864,35,3.768
3.706,1.508,60,2.271
3.414,1.146,44,2.535
3.834,1.016,5,2.848
3.095,1.428,73,2.579
2.724,0.767,18,3.171
2.08,2.355,21,3.755
3.778,2.235,72,2.389
3.558,1.915,74,2.486
0.849,0.712,51,3.654
0.787,2.052,41,4.0
1.942,2.116,24,3.533
3.375,2.036,24,3.117
3.958,0.728,38,2.204
1.196,1.788,44,3.735
2.661,2.169,57,3.3
1.957,1.655,59,3.112
3.901,1.793,34,2.166
3.479,1.417,75,2.581
3.466,1.557,82,2.333
2.247,0.569,23,2.996
2.069,1.778,43,3.174
1.602,0.663,82,2.856
0.886,1.37,40,3.523
3.554,1.085,47,2.329
3.383,1.591,41,2.442
3.999,0.767,47,2.03
3.989,1.883,20,2.967
2.533,2.09,77,2.539
3.238,0.827,65,2.631
3.818,0.709,68,1.751
3.504,0.791,24,2.673
1.516,2.254,36,3.871
2.187,1.556,45,3.388
1.126,1.435,2,4.0
3.848,0.713,28,2.414
2.7,1.799,26,3.197
1.455,2.236,23,4.0
2.917,2.156,79,2.8
2.74,1.752,36,3.023
1.882,0.651,6,3.515
1.075,0.725,35,3.436
2.916,0.599,38,2.523
2.417,1.015,35,2.933
3.249,0.771,74,2.354
2.417,1.02,53,2.617
3.512,1.27,38,2.913
2.521,2.386,59,3.018
2.551,1.721,43,2.541
3.593,2.17,4,3.352
2.031,1.921,5,3.078
1.142,0.725,68,2.868
0.795,1.972,45,4.0
3.192,1.05,80,2.543
2.747,1.778,25,3.469
3.023,1.182,78,2.125
1.403,2.495,11,4.0
1.15,1.027,29,3.908
0.748,1.058,34,3.878
1.857,2.361,14,4.0
2.647,0.549,24,3.351
1.994,1.893,59,3.385
2.144,1.951,39,3.07
3.684,2.173,26,3.108
1.849,2.449,43,3.546
2.396,2.451,36,3.134
3.286,0.631,39,2.748
2.009,2.144,61,3.57
2.753,1.793,16,3.293
3.546,1.795,59,2.65
3.833,0.757,6,2.155
1.185,1.8,56,3.827
3.758,2.465,8,3.395
2.324,2.324,27,3.6
1.552,1.378,71,2.809
2.215,0.58,27,2.647
3.934,1.225,46,2.88
2.326,2.153,41,3.096
1.785,1.903,79,3.14
2.79,1.419,25,2.857
1.492,0.61,18,2.874
0.95,1.354,12,4.0
1.125,1.438,51,3.662
1.123,2.357,39,3.491
1.201,1.782,10,4.0
1.158,1.123,74,3.042
2.815,1.551,77,2.339
1.3,0.632,54,2.883
1.841,2.445,29,3.965
3.659,1.22,41,2.051
2.264,1.456,9,3.171
2.903,1.211,63,2.72
1.269,1.865,77,3.397
1.335,1.824,37,3.428
0.835,1.931,14,4.0
1.257,1.036,73,2.84
1.619,1.131,72,2.96
1.284,0.751,39,3.276
0.993,1.811,40,3.702
1.098,0.58,54,3.186
2.221,1.695,3,3.574
1.381,2.239,55,3.55
1.902,2.282,33,3.588
2.361,1.398,71,3.076
2.978,1.419,19,3.026
0.83,0.654,34,3.737
3.338,1.842,78,2.514
2.772,2.143,50,3.165
0.97,0.989,47,3.673
3.583,1.343,46,2.265
3.739,2.178,56,2.795
0.902,2.254,57,3.733
1.614,0.986,83,2.62
3.36,1.601,51,2.86
3.169,0.885,54,2.391
1.309,0.704,81,3.012
1.391,2.322,28,3.222
1.923,2.141,19,3.905
2.299,2.02,27,4.0
2.74,0.598,48,2.641
1.917,2.187,19,3.673
2.226,1.376,51,2.937
3.167,1.185,7,3.198
0.821,1.593,29,3.823
1.533,0.683,43,3.363
3.054,2.013,69,3.163
3.654,1.665,58,2.708
2.389,0.873,8,3.223
2.456,0.876,42,2.622
1.054,0.868,76,3.017
2.176,0.614,42,2.893
2.458,1.676,13,3.1
1.5,2.181,26,4.0
1.589,0.535,18,3.527
1.945,0.598,42,2.759
0.766,1.646,51,3.272
1.763,2.139,16,3.996
1.398,1.153,3,3.386
1.781,1.199,79,2.918
1.095,1.693,45,3.557
3.639,1.048,22,2.879
2.659,0.553,23,3.115
2.941,1.97,59,2.659
3.304,1.751,62,2.846
2.345,1.662,68,2.848
0.987,1.983,54,3.705
2.472,1.85,57,3.046
2.637,0.912,23,3.591
3.16,1.205,60,2.508
2.124,0.752,73,2.268
1.121,0.76,55,3.091
1.636,1.852,80,3.326
1.898,2.217,63,3.245
2.832,2.425,56,3.079
2.584,1.757,55,2.876
1.875,0.868,25,2.596
3.956,0.711,26,2.217
2.699,2.126,49,3.089
1.483,1.658,63,2.872
1.036,1.737,45,3.402
1.204,2.063,73,3.362
1.512,1.907,79,3.134
1.23,2.169,39,3.907
1.316,0.612,65,2.978
1.641,1.995,69,3.382
