Electronegativity,IonicRadius,AtomicNumber,BandGap
3.254,2.157,41,3.169
2.148,1.967,51,3.265
3.533,2.231,41,2.89
3.001,2.396,61,3.104
1.011,1.628,35,4.0
3.92,1.99,76,2.283
3.212,1.48,57,2.659
3.294,2.072,3,3.319
1.123,1.573,15,3.845
2.186,1.973,25,3.506
1.924,1.05,16,3.882
3.758,1.874,67,2.409
2.825,1.657,2,3.539
3.415,1.0,67,2.226
2.163,1.871,32,3.338
1.45,1.241,48,2.877
2.53,1.758,17,3.366
0.911,1.817,6,3.906
3.431,1.842,82,2.469
2.784,1.867,49,2.947
3.202,1.335,44,2.497
1.87,1.749,69,3.106
3.903,2.313,26,2.871
3.647,0.636,2,3.083
3.269,2.066,37,3.019
1.342,0.758,18,3.336
2.24,1.431,4,3.564
0.845,0.828,71,3.304
1.209,2.065,66,3.428
2.954,0.574,20,2.812
3.158,1.902,77,2.705
3.893,1.303,5,2.683
1.775,1.03,7,3.819
1.923,2.421,60,3.54
2.25,1.084,20,3.325
1.325,0.923,65,2.955
1.129,1.363,51,3.657
2.27,1.104,34,2.946
1.449,1.956,39,3.658
2.91,0.56,60,2.449
2.143,1.884,79,3.064
3.448,1.344,48,2.567
3.011,2.068,57,2.725
1.731,1.168,21,3.376
3.446,0.536,20,2.596
3.356,2.027,35,3.124
1.979,0.765,34,3.144
1.651,1.456,51,3.127
2.952,2.166,77,2.87
1.161,2.35,71,3.628
1.36,0.992,73,2.951
0.724,2.176,20,4.0
3.297,2.052,22,3.071
2.894,2.347,11,3.367
3.027,2.13,65,2.953
3.276,0.679,73,2.262
2.214,2.389,29,3.4
2.577,0.549,80,2.427
1.161,1.187,74,3.198
1.078,1.278,5,3.756
2.906,1.471,52,2.746
2.255,0.97,80,2.703
2.565,0.748,1,3.417
3.224,2.174,62,2.901
2.795,1.784,16,3.171
2.527,1.45,77,2.929
2.545,2.049,82,2.759
1.703,2.33,3,4.0
0.802,0.948,61,3.563
2.141,1.146,79,2.83
1.408,2.369,36,3.705
2.048,1.588,16,3.56
3.516,1.062,60,2.44
1.472,0.816,7,3.44
0.892,2.477,81,3.534
1.629,1.57,72,3.244
1.669,2.225,82,3.142
2.884,1.772,67,2.653
2.538,1.387,58,2.584
3.287,2.217,38,2.765
2.892,1.213,7,3.498
2.041,2.037,71,2.982
3.386,1.407,32,2.7
1.251,2.295,74,3.633
0.775,1.506,20,3.79
0.997,1.152,1,3.863
3.084,1.951,28,3.248
2.224,2.22,6,3.734
1.232,2.202,64,3.336
2.353,1.457,49,2.961
1.203,1.38,16,3.92
2.998,0.799,4,2.998
2.172,0.578,2,3.315
1.957,2.363,54,3.4
1.695,1.95,56,3.551
2.78,1.654,29,3.003
1.894,1.667,73,2.816
0.989,0.547,42,3.507
1.089,1.408,53,3.268
3.874,2.343,77,2.245
3.698,1.424,10,3.04
3.009,1.662,62,2.667
1.577,1.254,41,3.376
3.898,0.71,30,2.114
3.27,1.147,55,2.647
3.066,0.67,75,2.156
2.183,1.657,79,3.04
1.598,2.464,41,3.685
1.018,1.225,44,3.653
3.679,2.217,32,2.981
2.204,0.586,78,2.562
1.368,1.51,79,3.058
1.71,1.809,42,3.342
2.611,1.138,2,3.477
1.283,0.697,31,3.15
3.527,0.936,46,2.282
3.203,0.64,68,2.27
3.074,2.276,78,2.399
2.126,0.509,6,3.22
2.77,0.639,78,2.384
2.628,2.091,18,3.548
2.844,1.099,13,3.313
0.979,1.23,79,2.983
2.072,1.113,68,2.899
0.837,2.281,76,3.731
2.33,2.357,32,3.525
1.789,2.358,42,3.658
1.177,1.115,64,3.187
1.041,0.901,55,3.271
2.639,2.156,1,3.477
1.263,2.198,69,3.541
3.753,1.209,3,3.07
2.618,1.656,9,3.46
1.845,1.281,18,3.335
2.65,0.53,57,2.461
0.775,1.321,48,3.438
3.863,2.29,72,2.312
2.292,2.216,79,3.018
3.283,0.708,11,2.673
0.973,1.114,68,3.189
2.306,0.648,64,2.83
2.319,1.096,15,3.227
3.795,1.095,2,2.805
2.587,0.606,16,3.016
2.263,2.29,58,3.291
1.581,2.18,74,3.249
1.794,2.357,25,3.429
2.418,1.989,62,3.035
2.148,2.02,20,3.465
0.771,2.074,48,4.0
3.427,1.85,76,2.298
3.657,0.852,5,2.888
1.163,0.855,21,3.557
2.528,1.501,13,3.691
1.058,1.881,33,3.893
2.918,0.559,48,2.838
1.628,1.593,56,2.894
2.876,2.274,71,2.846
3.099,0.752,13,2.801
3.237,1.126,54,2.685
1.056,2.474,68,3.699
3.723,1.158,42,2.602
1.46,0.557,52,3.104
0.823,1.867,77,3.621
2.531,2.465,76,3.01
1.924,0.961,5,3.399
3.438,0.932,50,2.492
3.367,1.364,12,3.171
1.747,1.572,2,3.833
3.845,2.129,20,3.0
1.66,2.487,16,3.996
2.4,2.126,1,3.709
1.545,1.082,42,3.25
3.789,2.072,37,2.805
1.243,1.762,40,3.304
0.848,1.482,33,3.414
2.136,1.769,51,3.305
3.975,1.38,12,2.596
3.643,1.764,18,2.761
3.17,1.974,5,3.328
3.64,0.527,26,2.494
3.648,1.732,7,3.064
2.412,0.806,54,2.637
1.743,1.173,38,3.367
3.248,1.387,44,2.659
2.883,2.444,60,3.199
1.933,1.151,22,3.304
1.012,2.139,12,4.0
3.164,1.174,31,2.712
1.566,0.959,62,3.371
3.791,1.368,11,2.813
1.495,0.68,15,3.517
1.105,2.139,80,3.545
3.443,1.497,48,2.609
1.206,1.875,72,3.727
1.292,2.095,27,3.979
2.678,1.318,56,2.612
3.586,1.401,10,2.992
1.348,1.007,78,3.127
1.724,1.929,62,3.398
3.265,2.165,82,2.427
3.907,1.648,42,2.538
2.352,0.577,7,3.343
1.175,1.923,41,3.618
0.746,1.834,30,3.802
1.458,1.185,40,3.259
1.135,1.318,67,3.195
2.936,1.49,20,2.82
1.102,2.082,42,3.621
2.371,1.861,32,3.367
2.991,1.534,60,2.884
2.618,2.111,49,3.067
1.359,2.218,57,3.576
3.354,0.604,1,2.871
3.061,0.64,77,2.241
3.139,1.451,83,2.248
1.132,2.063,28,3.68
1.108,0.72,8,3.88
3.761,2.227,7,3.107
2.012,0.774,78,2.804
1.693,1.891,71,3.211
2.312,2.107,82,3.122
2.887,0.591,50,2.394
3.854,2.197,81,2.338
1.645,2.183,50,3.439
3.752,0.792,76,1.95
0.782,0.918,82,2.831
2.532,2.221,53,3.155
2.792,2.431,32,3.385
1.049,1.469,24,3.998
1.163,0.751,35,3.37
2.083,1.059,31,3.03
3.889,1.177,29,2.41
2.667,1.762,71,2.687
3.779,1.943,65,2.506
3.354,1.714,17,2.888
2.242,2.281,48,3.324
3.29,0.521,9,2.636
0.759,1.28,43,3.627
1.06,1.084,12,4.0
3.437,2.003,36,2.943
3.329,1.862,77,2.368
1.468,2.282,76,3.771
2.452,1.127,39,3.166
